Designación                     d x peso,,Peralte,Alma,,Patin,,Área,Pandeo local,,X - X,,,,Propiedades torsión,
,,d    ,h,tw   , bf   , tf   ,,b / 2tf,h / tw,I,Z,S,r,J,Cw
mm,kg/m,mm,mm,mm,mm,mm,cm2,,,cm4,cm3,cm3,cm,cm4,cm6
356,346.9,407,289,27.2,404,43.7,442,4.7,10.7,12526,7145,6146,16.8,477,15843616
356,382.6,417,289,30,407,48.1,487.8,4.3,9.8,141519,7981,6801,17,3292,18206732
356,421.3,425,289,32.8,409,52.6,537.5,3.9,8.9,159833,8882,7522,17.2,4329,20865237
356,463,435,289,35.9,412,57.5,589.7,3.6,8.1,180229,9882,8292,17.5,5661,23926546
356,509.1,445,289,39.2,417,62.8,651.7,3.4,7.5,203954,11013,9144,17.7,7409,27659194
356,550.8,455,289,42.2,420,67.6,703.3,3.2,6.9,226430,12061,9947,18,9240,31150161
,,,,,,,,,,,,,,,
356,592.5,465,289,45,422,72.4,754.9,3,6.5,249739,13127,10750,18.2,11363,34641127
356,634.2,475,289,47.8,425,77.3,806.5,2.8,6.1,274713,14241,11570,18.4,13777,38669165
356,677.3,483,289,51.4,427,81.6,864.6,2.7,5.7,299271,15339,12389,18.6,16441,42965739
356,744.3,498,288,55.7,432,88.9,984.4,2.5,5.3,341727,17207,13733,19,21394,50216207
356,818.7,514,288,60.5,437,97.1,1045.2,2.3,4.8,392507,19337,15257,19.4,27846,58809355
356,900.6,531,289,66.1,442,105.7,1148.4,2.1,4.4,449530,21631,17043,19.8,36171,69282254
356,989.9,549,287,71.9,450,114.9,1264.6,2,4.1,516127,24253,18846,20.3,46618,81903439
356,1086.7,569,289,78,455,124.8,1387.1,1.9,3.8,595211,27203,20976,20.8,60354,97209984
,,,,,,,,,,,,,,,
406,38.8,399,361,6.4,140,8.8,49.6,8,56.8,12529,725,630,15.9,11,151723
406,46.2,404,360,7,141,11.2,59,6.3,51.6,15609,885,774,16.3,19,198448
,,,,,,,,,,,,,,,
406,53.6,404,360,7.5,178,11,68.4,8.2,48.1,18648,1049,926,16.5,23,293062
406,59.6,407,359,7.8,178,12.9,76.2,7,46.5,21561,1197,1061,16.8,33,464567
406,67,409,359,8.8,179,14.4,85.9,6.3,41.1,24392,1349,1192,16.9,46,534386
406,74.5,415,361,9.7,180,16.1,94.9,5.7,37.4,27430,1508,1328,17,63,609576
406,84.9,417,359,11,181,18.2,108.4,5,33,31551,1721,1511,17.1,92,714305
,,,,,,,,,,,,,,,
406,99.8,415,359,10.1,260,16.9,127.1,7.7,35.9,39709,2131,1918,17.7,99,1960312
406,114.7,420,360,11.6,262,19.4,145.9,6.8,31.2,46202,2459,2196,17.8,149,2306723
406,132.5,427,361,13.4,265,22.3,169.1,6,27,54111,2868,2540,17.9,227,2739066
406,148.9,432,360,14.9,265,25.1,190.4,5.3,24.3,62019,3245,2868,18,322,3195577
,,,,,,,,,,,,,,,
457,52.1,450,406,7.7,153,10.8,66.5,7.1,53.5,21228,1090,944,17.9,21,306131
